row_id,Two_yr_Recidivism,Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor
0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,0,0
2,1,4,0,1,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0,1
4,1,14,0,0,0,0,0,0,0,0,0
5,0,3,0,0,0,0,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,1,1
7,0,0,0,0,0,0,0,0,0,0,0
8,1,3,0,1,1,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,1,1
10,0,0,0,0,1,0,0,0,0,0,0
11,1,1,1,0,0,0,0,0,0,1,0
12,1,7,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,1
14,0,3,0,0,1,0,0,0,0,0,0
15,1,6,0,0,0,0,0,0,0,0,0
16,1,5,0,0,0,0,0,0,0,0,0
17,1,13,1,0,1,0,0,0,0,0,0
18,1,1,0,1,1,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,1
20,0,0,0,1,0,0,0,0,0,1,0
21,1,1,0,1,0,0,1,0,0,0,0
22,0,1,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,1,0,1
24,1,8,0,0,1,0,0,0,0,0,0
25,1,5,0,0,1,0,0,0,0,0,0
26,1,0,0,0,1,0,0,0,0,0,0
27,1,9,0,0,0,0,0,0,0,0,0
28,1,4,0,0,1,0,0,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0
30,1,7,1,0,0,0,0,0,1,0,0
31,1,4,0,0,0,0,0,0,0,1,1
32,1,1,0,1,0,0,0,0,0,0,1
33,1,21,0,0,1,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,1
35,0,2,0,1,1,0,0,0,0,1,0
36,0,2,1,0,1,0,0,0,0,0,1
37,1,2,0,0,0,0,0,0,0,0,1
38,0,7,1,0,1,0,0,0,0,1,0
39,1,0,0,0,1,0,0,0,0,0,0
40,1,9,0,0,0,0,0,0,0,0,1
41,1,13,0,0,1,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,1
43,0,0,0,0,1,0,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,1,1,0
46,0,15,0,0,1,0,0,0,0,0,0
47,1,2,0,1,1,0,0,0,0,0,0
48,0,0,0,0,0,0,1,0,0,0,1
49,0,4,1,0,1,0,0,0,0,0,1
50,0,8,1,0,0,0,0,0,0,0,0
51,0,5,0,0,1,0,0,0,0,0,0
52,1,15,0,0,1,0,0,0,0,0,0
53,1,4,0,0,0,0,0,0,0,0,1
54,1,1,0,1,1,0,0,0,0,0,0
55,1,4,0,0,1,0,0,0,0,0,0
56,0,0,1,0,0,0,1,0,0,0,1
57,1,6,0,0,1,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,1,0,1
59,0,0,1,0,1,0,0,0,0,1,1
60,1,6,1,0,0,0,1,0,0,0,0
61,0,1,0,1,0,0,1,0,0,0,0
62,0,1,0,0,1,0,0,0,0,0,1
63,1,5,0,0,1,0,0,0,0,0,0
64,1,1,0,0,0,0,0,0,0,0,0
65,0,2,0,0,1,0,0,0,0,0,0
66,1,1,0,1,1,0,0,0,0,0,1
67,0,0,0,1,0,0,0,0,0,0,0
68,1,1,0,0,1,0,0,0,0,1,0
69,0,0,0,0,1,0,0,0,0,0,0
70,0,1,0,0,1,0,0,0,0,0,1
71,1,8,0,0,1,0,0,0,0,0,1
72,1,0,1,0,0,0,0,0,1,0,0
73,1,14,0,0,1,0,0,0,0,0,0
74,1,0,0,1,0,0,0,0,1,0,0
75,1,2,0,1,1,0,0,0,0,0,0
76,0,1,0,0,1,0,0,0,0,1,1
77,1,9,0,0,1,0,0,0,0,0,0
78,1,7,0,0,0,0,0,0,0,0,0
79,1,1,0,1,0,0,0,0,1,0,0
80,1,9,0,0,0,0,0,0,0,0,0
81,0,0,0,1,0,0,0,0,0,1,0
82,1,2,0,0,0,0,0,0,0,0,0
83,0,0,1,0,0,0,0,0,0,1,1
84,0,0,0,0,0,0,1,0,0,1,1
85,1,1,0,1,1,0,0,0,0,0,1
86,0,1,0,0,1,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0,1,0
88,1,8,0,1,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,1
91,0,1,0,0,0,0,0,0,0,1,0
92,0,1,0,0,0,0,0,0,0,0,0
93,1,3,0,1,1,0,0,0,0,0,0
94,1,5,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,0,0,0,0,0
96,1,5,0,0,1,0,0,0,0,0,0
97,0,3,0,0,1,0,0,0,0,0,0
98,1,1,0,0,0,0,0,0,0,0,0
99,1,10,0,0,1,0,0,0,0,0,0
100,1,0,0,1,1,0,0,0,0,0,0
101,1,28,0,0,1,0,0,0,0,0,0
102,0,1,0,0,1,0,0,0,0,0,1
103,0,1,0,0,0,0,0,0,1,1,0
104,1,13,0,0,0,0,0,0,0,0,0
105,1,3,0,0,1,0,0,0,0,0,0
106,0,3,1,0,0,0,0,0,0,0,1
107,1,19,0,0,1,0,0,0,0,0,0
108,0,6,0,0,0,0,0,0,0,0,0
109,0,2,0,0,0,0,0,0,0,1,0
110,0,1,0,0,0,0,0,0,0,0,1
111,0,2,0,0,0,0,0,0,1,1,1
112,1,0,0,0,0,0,0,0,0,0,1
113,0,0,0,1,1,0,0,0,0,1,1
114,1,10,0,0,0,0,0,0,0,1,0
115,1,2,0,0,0,0,0,0,0,0,1
116,1,3,0,0,1,0,0,0,0,0,0
117,1,2,0,0,0,0,0,0,0,0,1
