row_id,Number_of_Priors,shap_value
3,0,-0.77406603
7,0,-0.7672155
16,5,0.528197
18,1,-0.2586478
23,0,-0.77406603
31,4,0.52980053
37,2,-0.0005306521
38,7,0.9547417
39,0,-0.7672155
41,13,1.1809285
44,1,-0.36312652
45,0,-0.8416358
48,0,-0.77406603
60,6,0.77292013
73,14,1.1708204
76,1,-0.31439677
81,0,-0.81324965
83,0,-0.7923416
86,1,-0.36312652
96,5,0.528197
101,28,2.477934
103,1,-0.34421542
110,1,-0.33330783
142,0,-0.7672155
152,1,-0.3563019
156,23,2.441243
160,8,0.9116429
164,2,-0.050856538
188,2,0.025693456
189,5,0.5408089
196,0,-0.7110707
201,1,-0.36312652
206,0,-0.7672155
208,1,-0.3563019
221,2,0.0025208127
226,0,-0.7388293
228,0,-0.81324965
229,0,-0.7854911
233,3,0.32313573
235,2,0.022641996
239,3,0.3892255
242,0,-0.74567974
243,1,-0.33330783
250,0,-0.7388293
254,0,-0.7110707
260,0,-0.77406603
277,1,-0.20991775
281,0,-0.7388293
286,12,1.1595863
291,0,-0.77406603
292,0,-0.77406603
300,2,-0.0005306521
301,0,-0.7923416
302,3,0.3261873
322,2,0.0025208127
331,14,1.1708204
333,0,-0.74567974
334,0,-0.7672155
342,0,-0.7179213
346,0,-0.74567974
347,0,-0.7388293
350,1,-0.2586478
351,8,0.87990993
354,0,-0.77406603
355,21,1.9474419
359,1,-0.38612062
363,0,-0.7672155
368,0,-0.81324965
369,0,-0.77406603
372,1,-0.228829
373,4,0.4529492
377,0,-0.74567974
387,10,1.270102
393,8,0.87990993
399,1,-0.2586478
403,3,0.3261795
404,4,0.50690424
418,4,0.50690424
420,0,-0.7672155
424,33,2.682781
432,7,0.9033322
440,1,-0.38612062
444,0,-0.7388293
450,1,-0.36312652
452,1,-0.36312652
461,2,-0.0005306521
462,2,-0.050856538
466,6,0.77292013
472,3,0.3261873
480,5,0.528197
483,11,1.2002355
488,0,-0.84848636
490,2,-0.030735342
497,0,-0.77406603
507,3,0.38617402
515,0,-0.7923416
519,0,-0.7388293
522,2,-0.0005306521
531,0,-0.77406603
542,0,-0.7923416
547,10,1.3469931
558,2,0.04834471
571,0,-0.77406603
578,3,0.3892255
587,20,1.5256518
600,2,-0.027683878
601,0,-0.7388293
602,18,1.6244644
607,0,-0.77406603
609,0,-0.74567974
612,1,-0.2586478
617,0,-0.7110707
618,4,0.53804266
620,6,0.71126366
645,0,-0.81324965
649,5,0.528197
665,11,1.1252787
677,0,-0.7388293
679,1,-0.31439677
694,5,0.5096705
696,1,-0.33330783
699,2,-0.050856538
701,1,-0.23973651
703,13,1.1809285
706,20,1.6192753
710,9,1.2534559
713,4,0.49866188
714,4,0.4447068
718,3,0.3892255
719,0,-0.7110707
729,0,-0.7672155
733,1,-0.2586478
737,0,-0.7672155
740,13,1.1809285
743,0,-0.7672155
751,1,-0.36312652
752,1,-0.38612062
767,3,0.3892255
782,4,0.49866188
790,10,1.3107513
797,14,1.1708204
799,5,0.528197
803,2,-0.0005306521
816,0,-0.74567974
817,0,-0.82010007
827,0,-0.7672155
834,3,0.41294926
846,2,0.051396172
849,0,-0.7179213
856,2,0.0025208127
859,11,1.2002355
867,1,-0.38612062
879,5,0.48846182
880,1,-0.36312652
882,1,-0.33330783
888,0,-0.7672155
890,2,-0.0005306521
892,4,0.49866188
894,0,-0.8416358
895,4,0.53804266
899,0,-0.8416358
902,2,-0.050856538
907,2,0.0025208127
910,8,0.87990993
916,1,-0.33330783
