row_id,split
0,test
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,test
10,train
11,train
12,train
13,test
14,test
15,test
16,train
17,train
18,train
19,test
20,train
21,train
22,train
23,test
24,train
25,test
26,train
27,test
28,test
29,train
30,train
31,train
32,train
33,test
34,train
35,train
36,test
37,train
38,train
39,train
40,train
41,test
42,test
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,test
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,test
60,train
61,train
62,train
63,test
64,train
65,test
66,train
67,train
68,test
69,train
70,train
71,train
72,train
73,train
74,test
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,test
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,test
109,test
110,test
111,train
112,train
113,train
114,train
115,train
116,train
117,train
118,test
119,train
120,train
121,train
122,test
123,test
124,train
125,test
126,train
127,train
128,test
129,test
130,train
131,train
132,train
133,train
134,test
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,test
143,train
144,train
145,train
146,test
147,train
148,train
149,test
150,test
151,train
152,test
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,test
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,train
171,test
172,train
173,train
174,train
175,train
176,train
177,train
178,test
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,test
193,train
194,train
195,train
196,test
197,train
198,train
199,train
200,test
201,test
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,test
215,test
216,train
217,test
218,train
219,train
220,test
221,test
222,train
223,test
224,train
225,train
226,train
227,test
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,train
237,test
238,test
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,test
257,test
258,train
259,train
260,test
261,train
262,train
263,train
264,train
265,test
266,train
267,train
268,train
269,train
270,train
271,train
272,train
273,train
274,test
275,train
276,train
277,test
278,test
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,test
293,train
294,train
295,train
296,train
297,test
298,train
299,train
300,train
301,test
302,train
303,train
304,test
305,train
306,train
307,test
308,train
309,train
310,train
311,test
312,train
313,train
314,train
315,test
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
325,train
326,test
327,train
328,train
329,test
330,train
331,test
332,test
333,test
334,train
335,test
336,test
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,test
349,train
350,train
351,test
352,test
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,train
363,test
364,train
365,train
366,train
367,train
368,train
369,train
370,train
371,train
372,train
373,test
374,test
375,train
376,train
377,train
378,test
379,train
380,test
381,train
382,train
383,train
384,test
385,test
386,train
387,train
388,train
389,test
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,test
402,train
403,train
404,train
405,train
406,train
407,train
408,train
409,train
410,test
411,train
412,train
413,train
414,train
415,train
416,train
417,train
418,train
419,train
420,train
421,train
422,train
423,test
424,train
425,train
426,test
427,train
428,train
429,train
430,train
431,test
432,train
433,test
434,test
435,train
436,test
437,test
438,train
439,train
440,train
441,train
442,train
443,test
444,test
445,train
446,train
447,train
448,train
449,test
450,train
451,train
452,train
453,test
454,train
455,train
456,test
457,train
458,train
459,train
460,test
461,test
462,train
463,train
464,test
465,train
466,test
467,train
468,train
469,train
470,test
471,train
472,train
473,test
474,train
475,train
476,train
477,train
478,train
479,train
480,test
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
491,train
492,train
493,train
494,train
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,train
506,train
507,train
508,train
509,train
510,test
511,train
512,test
513,train
514,train
515,train
516,train
517,train
518,train
519,test
520,test
521,train
522,train
523,test
524,train
525,test
526,train
527,train
528,train
529,train
530,test
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,test
545,train
546,train
547,train
548,test
549,train
550,train
551,test
552,test
553,train
554,train
555,train
556,train
557,test
558,train
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,test
571,train
572,train
573,train
574,train
575,train
576,train
577,test
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,test
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,test
597,test
598,train
599,train
600,test
601,train
602,train
603,test
604,train
605,train
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,train
614,test
615,train
616,train
617,train
618,train
619,train
620,train
621,train
622,test
623,train
624,train
625,train
626,train
627,train
628,test
629,test
630,train
631,train
632,train
633,train
634,train
635,train
636,train
637,train
638,test
639,test
640,train
641,test
642,test
643,test
644,train
645,train
646,train
647,train
648,train
649,train
650,train
651,test
652,train
653,train
654,test
655,train
656,test
657,train
658,train
659,train
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,test
669,train
670,train
671,train
672,train
673,train
674,train
675,train
676,test
677,train
678,train
679,train
680,train
681,test
682,train
683,train
684,train
685,train
686,train
687,train
688,train
689,train
690,train
691,train
692,test
693,train
694,train
695,test
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,train
704,train
705,train
706,train
707,train
708,test
709,train
710,train
711,train
712,test
713,train
714,train
715,train
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,train
727,test
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,train
736,test
737,train
738,train
739,test
740,train
741,train
742,train
743,train
744,train
745,train
746,train
747,test
748,train
749,test
750,train
751,train
752,train
753,train
754,test
755,train
756,test
757,train
758,test
759,train
760,train
761,train
762,train
763,train
764,test
765,train
766,train
767,test
768,train
769,train
770,train
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,train
784,train
785,train
786,train
787,test
788,train
789,train
790,train
791,train
792,train
793,train
794,test
795,train
796,test
797,train
798,train
799,train
800,train
801,train
802,test
803,train
804,test
805,train
806,test
807,test
808,train
809,train
810,train
811,test
812,train
813,train
814,train
815,train
816,train
817,train
818,train
819,train
820,train
821,train
822,train
823,train
824,train
825,train
826,train
827,train
828,train
829,train
830,train
831,train
832,train
833,train
834,train
835,train
836,train
837,train
838,test
839,train
840,train
841,train
842,test
843,train
844,train
845,train
846,train
847,train
848,train
849,train
850,train
851,test
852,train
853,test
854,train
855,train
856,test
857,train
858,test
859,train
860,test
861,train
862,test
863,train
864,train
865,train
866,train
867,train
868,train
869,train
870,train
